output\frame878.jpg,"tensor([[-19.4250, -22.4673, -16.7106, -21.4392, -12.1359, -16.5565, -14.9401,
         -26.4728]])",tensor([-0.1219]),tensor([0.3388]),fear
output\frame633.jpg,"tensor([[-10.7434, -23.5557, -11.0210, -13.6555, -16.0865, -17.4764, -15.6103,
         -25.8510]])",tensor([-0.2175]),tensor([0.0340]),neutral
output\frame708.jpg,"tensor([[ -9.0943, -20.0117, -11.3616, -11.3488, -13.0613, -16.4319, -12.7503,
         -20.0172]])",tensor([-0.1539]),tensor([0.1848]),neutral
output\frame933.jpg,"tensor([[-14.6965, -16.9575, -15.6086, -19.6343, -10.9361, -11.1786, -10.9941,
         -22.9956]])",tensor([-0.1645]),tensor([0.3532]),fear
output\frame669.jpg,"tensor([[-10.1214, -18.1990, -15.1862, -19.4358, -13.5900,  -8.7753,  -9.7566,
         -18.4629]])",tensor([-0.3245]),tensor([0.2891]),disgust
output\frame249.jpg,"tensor([[-14.7335, -18.5193, -15.4735, -19.0423,  -9.1956, -12.4994, -10.4232,
         -18.9723]])",tensor([-0.1508]),tensor([0.4021]),fear
output\frame836.jpg,"tensor([[-16.3741, -19.9158, -15.9577, -19.7924, -11.8771, -15.1128, -12.6438,
         -24.1319]])",tensor([-0.0967]),tensor([0.3446]),fear
output\frame292.jpg,"tensor([[-11.1967, -18.9395, -10.4794, -11.2797, -11.3505, -11.5334, -11.3176,
         -18.5633]])",tensor([-0.2384]),tensor([0.2954]),sad
output\frame167.jpg,"tensor([[ -9.7197, -17.2502, -11.2739, -11.6726, -13.7848, -14.9021, -14.4247,
         -20.9518]])",tensor([-0.0972]),tensor([0.1677]),neutral
output\frame609.jpg,"tensor([[ -9.4872, -19.7075, -12.1372, -11.2854, -13.5681, -17.1945, -14.8511,
         -22.1361]])",tensor([-0.0856]),tensor([0.1778]),neutral
output\frame610.jpg,"tensor([[ -8.5980, -21.3259, -12.2966,  -9.4833, -12.6183, -13.7766, -11.5245,
         -19.3813]])",tensor([-0.1836]),tensor([0.3076]),neutral
output\frame296.jpg,"tensor([[-13.1429, -23.3938, -10.2671, -18.8642, -18.5745, -19.3486, -16.1525,
         -27.7618]])",tensor([-0.2636]),tensor([-0.0956]),sad
output\frame144.jpg,"tensor([[-10.4369, -17.9112, -10.9461, -10.8969, -10.5225, -11.4515, -10.2728,
         -16.1986]])",tensor([-0.2345]),tensor([0.3354]),anger
output\frame368.jpg,"tensor([[-13.3679, -16.4951, -17.4416, -17.3305,  -9.3533, -11.7643,  -9.4606,
         -20.8046]])",tensor([-0.0829]),tensor([0.4133]),fear
output\frame23.jpg,"tensor([[ -9.2863, -16.8749,  -8.9625, -11.4319, -11.1074, -10.3273, -10.8147,
         -14.8179]])",tensor([-0.3011]),tensor([0.2336]),sad
output\frame756.jpg,"tensor([[ -9.5749, -20.7067, -13.7137, -22.0800, -19.8897, -15.2883, -15.2367,
         -22.3471]])",tensor([-0.2165]),tensor([0.0176]),neutral
output\frame73.jpg,"tensor([[ -9.8932, -20.5280, -11.1038, -10.5831,  -9.4226,  -9.6981, -10.8406,
         -15.1721]])",tensor([-0.3340]),tensor([0.3660]),fear
output\frame550.jpg,"tensor([[-17.7961, -20.7693, -15.7614, -20.1590, -11.2830, -15.4923, -14.1003,
         -24.6972]])",tensor([-0.0850]),tensor([0.3545]),fear
output\frame771.jpg,"tensor([[ -9.9516, -20.1535, -11.0641, -11.2939, -12.5493, -14.2941, -12.0274,
         -19.6897]])",tensor([-0.2364]),tensor([0.2354]),neutral
output\frame935.jpg,"tensor([[-16.5576, -19.1205, -15.8641, -21.5175, -12.5381, -13.3686, -12.4983,
         -24.8722]])",tensor([-0.1603]),tensor([0.3329]),anger
output\frame753.jpg,"tensor([[ -8.8101, -20.5822, -13.3459, -13.6447, -14.7620, -11.2613, -11.2326,
         -19.6755]])",tensor([-0.3037]),tensor([0.2458]),neutral
output\frame24.jpg,"tensor([[ -9.6036, -22.0604, -12.1785, -13.8708, -15.0654, -15.4257, -13.3934,
         -23.0243]])",tensor([-0.2080]),tensor([0.1315]),neutral
output\frame653.jpg,"tensor([[-11.1663, -22.8246, -10.6191, -15.4690, -19.0144, -19.4846, -17.3077,
         -26.3147]])",tensor([-0.2084]),tensor([-0.1076]),sad
output\frame88.jpg,"tensor([[-18.0211, -20.9216, -16.6770, -22.6863, -12.1914, -15.8916, -14.9568,
         -24.0126]])",tensor([-0.1030]),tensor([0.3054]),fear
output\frame965.jpg,"tensor([[ -6.3711, -17.2300, -13.2106, -20.4545, -16.2236,  -7.8653,  -7.9558,
         -14.3410]])",tensor([-0.3875]),tensor([0.2042]),neutral
output\frame347.jpg,"tensor([[-13.0481, -15.3226, -15.4775, -19.6100, -12.6770, -11.4200, -10.5458,
         -20.8162]])",tensor([-0.1138]),tensor([0.3017]),anger
output\frame510.jpg,"tensor([[-10.1826, -19.8019, -12.0650, -11.6297, -12.7765, -14.4544, -13.7927,
         -20.1349]])",tensor([-0.1821]),tensor([0.2463]),neutral
output\frame407.jpg,"tensor([[ -9.1511, -20.9286, -10.8175, -13.0650, -15.5882, -15.9674, -15.8964,
         -22.6134]])",tensor([-0.1960]),tensor([0.0502]),neutral
output\frame229.jpg,"tensor([[-13.0130, -17.4687, -16.4782, -18.6966, -11.8596, -11.0613, -10.7443,
         -21.1024]])",tensor([-0.1511]),tensor([0.3646]),anger
output\frame169.jpg,"tensor([[-10.2108, -16.4346, -11.6473, -12.1314, -14.7267, -17.5617, -16.4196,
         -23.2813]])",tensor([0.0052]),tensor([0.0945]),neutral
output\frame710.jpg,"tensor([[ -9.3015, -17.5139, -16.5920, -18.6682, -12.4982, -11.4123,  -8.5261,
         -16.6636]])",tensor([-0.2173]),tensor([0.3013]),anger
output\frame12.jpg,"tensor([[ -6.1179, -13.4679, -13.3333, -22.9704, -17.3082,  -9.0799, -12.7402,
         -12.1651]])",tensor([-0.2450]),tensor([0.0967]),neutral
output\frame483.jpg,"tensor([[ -9.9577, -16.9843, -16.6184, -18.1168, -11.6408,  -9.6003,  -8.4469,
         -17.7992]])",tensor([-0.2218]),tensor([0.3484]),anger
output\frame454.jpg,"tensor([[-19.5653, -21.3202, -16.5718, -23.7688, -13.7237, -17.0860, -16.0411,
         -26.1294]])",tensor([-0.1097]),tensor([0.2676]),fear
output\frame420.jpg,"tensor([[ -9.6374, -20.7318, -13.1325, -13.2326, -14.1263, -18.0686, -13.9535,
         -23.4894]])",tensor([-0.1004]),tensor([0.1716]),neutral
output\frame718.jpg,"tensor([[-10.1935, -17.2048,  -9.5806,  -9.9589, -12.8476, -12.6973, -12.2092,
         -17.8960]])",tensor([-0.1837]),tensor([0.2084]),sad
output\frame452.jpg,"tensor([[-15.7386, -19.1740, -14.8472, -20.5773, -10.9938, -13.3521, -11.6641,
         -22.9679]])",tensor([-0.1684]),tensor([0.3429]),fear
output\frame858.jpg,"tensor([[-10.0599, -21.2806, -18.6514, -13.4369, -17.0912, -12.6025,  -8.7492,
         -23.5192]])",tensor([-0.2350]),tensor([0.3824]),anger
output\frame346.jpg,"tensor([[-11.6677, -21.0492, -15.3154, -14.4387, -19.3091, -21.7274, -18.1278,
         -28.4634]])",tensor([0.0433]),tensor([0.0553]),neutral
output\frame444.jpg,"tensor([[-12.3123, -18.6542, -15.7114, -14.9958,  -7.2577, -10.8295,  -9.2153,
         -18.1891]])",tensor([-0.1690]),tensor([0.4644]),fear
